source,target
Hisham!,هشام
"Yes, of course. We got married.",اه اتجوزته طبعا أومال؟!
We have two beautiful kids.,وخلفنا ولد وبنت زي القمر
"Nadia, she's the eldest. ",نادية الكبيرة
"And Salim. Not Selim. Salim, okay?",وسليم. مش سليم. سليم. اتفقنا؟
I'm so happy.,مبسوطة جدا، جدا
What more could I ask for?,أصل الواحدة مننا عايزة إيه أكتر من كده؟
Nothing.,ولا حاجة.
And then you have the little issues of daily life.,وطبعا في المنغصات العادية بتاعت الحياة اليومية
I don't get it. ,أنا مش فاهمة.
Why is his other grandma hosting the birthday of my grandson?,ليه عيد ميلاد حفيدي يتعمل عن جدته التانية مش عندي؟
Like Soheir. ,زي سهير 
God bless her.,حبيبتي ربنا يخليهالي 
"She's in my life, of course.",موجودة طبعا، هتروح فين؟
She's my lovely mother. ,مامتي حبيبتي.
Mom! Hisham can't say no to his mother.,مامتي، علشان هشام مابيعرفش يقول لأ لمامته.
"Go faster, Hisham.",ما تسوق أسرع شوية من كدا يا هشام.
We can't go this slows in everything we do in life.,يعني مش ممكن نبقى واخدين راحتنا كدا ومرحرحين طول الوقت في كل حاجة.
I always take my time. ,يعني أنا بعمل الحاجات على مهلي
I'm not stressed like you. ,عادي يعني أنا مش متوتر زيك
I have to be stressed since it's at your mom's ,لما يبقى العيد ميلاد عند أمك لازم أبقى متوترة؟ ولا إيه؟
"Right, Mother? Huh?",ولا إيه يا ماما؟ ها؟
You see? ,مش بقولكوا؟ 
Everything is under control.,كله تحت السيطرة، كله تحت السيطرة.
You're getting hunchbacked from bending over your phone all the time.,يا ابني طلع لك أتب من البصة في الموبايل
"Salim, answer me. ",يا سليم، لما أكلمك رد عليا
Mom!,ماما
Did you forget where we're going?,حبيبتي أنتي ناسية احنا رايحين فين ولا إيه؟
I don't want to be a laughing stock.,متشمتيش فينا الأعادي
Let's stay united here.,خلينا على قلب ست واحدة دلوقتي
"Still alive, obviously. ",لسه عايشة.
"How are you, Gehad?",إزيك يا جهاد؟
Stop.,بس
"Hi, Auntie.",هاي طنط
"I've missed you, Hisham.",هشام حبيبي وحشتني وحشتني
"How are you, Mom?",عاملة إيه يا ماما؟
Are you okay?,أنت كويس؟
I'm okay.,أنا كويس الحمد الله. 
You look pale.,وشك أصفر ليه؟
I'm not pale.,يا ماما مش أصفر ولا حاجة
You keep saying that.,أنت كل اما تشوفيني تقولي لي كدا
I'm okay.,أنا كويس
My mother-in-law,حماتي
"Mrs. Nazly, The Mona Lisa.",مدام نازلي الموناليزا
She thinks her son married me because there's no one like her.,طبعا هي مقتنعة إن ابنها اتجوزني علشان ملقاش حد زيها.
And I've been trying to be like her for 13 years. ,وأنا بقالي 13 سنة بحاول ابقى شبهها.
It's not working. ,مش نافع. مش نافع.
It's stressful.,الموضوع مرهق على فكرة
Let's take a picture.,يالا يا جماعة ناخد صورة مع بعض
Happy birthday.,كل سنة وأنت طيب.
"Wait, Ola. Wait.",استني يا علا. استني. يالا
"Come, Hisham",تعالى يا هشام
Nice,عسل
The best-grilled meat. ,تحفة الحواوشي
"I admit, the meat is delicious.",باقولك إيه اللحمة مابتهزرش
We should call you Dr. Chef.,احنا نقولك بقا دكتور شيف بعد كدا
Now you know how great I am.,عشان تعرف بس صاحبك جامد قد إيه
Who's the chef?,اممم وهو الشيف مين بقا؟
The one who grills or who marinated the meat for three days?,اللي بيهوي على الفحم ولا اللي بقاله تلات أيام بيتبل في المطبخ؟
It's the same recipe at your friend's house.,دي نفس الوصفة اللي كنا بناكلها في المطعم بتاع صاحبكوا ده، فاكرينه؟
